domain,domain_length,domain_entropy,numeric_ratio,special_char_ratio,vowel_ratio,consonant_ratio,dns_record_type,ip_count,has_mx_response,has_txt_dns_response,has_spf_info,has_dkim_info,has_dmarc_info,label
f8ljkpuoi.s3.eu-north-1.amazonaws.com,37,4.378240189894804,0.08108108108108109,0.16216216216216217,0.2972972972972973,0.4594594594594595,0,0,False,False,False,False,False,1
bt-103495.weeblysite.com,24,4.136842188131013,0.25,0.125,0.20833333333333334,0.4166666666666667,0,0,False,False,False,False,False,1
http://117.222.232.150:37068/bin.sh,35,3.9544425746945726,0.4857142857142857,0.2571428571428571,0.02857142857142857,0.22857142857142856,0,0,False,False,False,False,False,1
continentalforwarders.com,25,3.7532696895151076,0.0,0.04,0.32,0.64,0,0,False,False,False,False,False,1
http://private-sailing-croatia.com/x86,38,4.228062052860337,0.05263157894736842,0.18421052631578946,0.2894736842105263,0.47368421052631576,0,0,False,False,False,False,False,1
http://182.126.93.85:59356/bin.sh,33,3.968340331348547,0.45454545454545453,0.2727272727272727,0.030303030303030304,0.24242424242424243,0,0,False,False,False,False,False,1
http://59.99.219.220:37195/i,28,3.597558387024489,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.14285714285714285,0,0,False,False,False,False,False,1
http://trumpsha.mypi.co/bins/arm5,33,4.0060710131011685,0.030303030303030304,0.21212121212121213,0.18181818181818182,0.5757575757575758,0,0,False,False,False,False,False,1
http://117.253.167.226:33927/bin.sh,35,3.9001530166977125,0.4857142857142857,0.2571428571428571,0.02857142857142857,0.22857142857142856,0,0,False,False,False,False,False,1
alertwellsuser.duckdns.org,26,3.7381493331928657,0.0,0.07692307692307693,0.2692307692307692,0.6538461538461539,0,0,False,False,False,False,False,1
http://110.183.25.5:46431/i,27,3.736006946447657,0.5185185185185185,0.2962962962962963,0.037037037037037035,0.14814814814814814,0,0,False,False,False,False,False,1
dev-582147859635412587.pantheonsite.io,38,4.313459750171826,0.47368421052631576,0.07894736842105263,0.21052631578947367,0.23684210526315788,0,0,False,False,False,False,False,1
dev-phantuy875678.pantheonsite.io,33,4.12728313431329,0.18181818181818182,0.09090909090909091,0.30303030303030304,0.42424242424242425,0,0,False,False,False,False,False,1
http://59.97.177.190:38752/bin.sh,33,3.968340331348547,0.45454545454545453,0.2727272727272727,0.030303030303030304,0.24242424242424243,0,0,False,False,False,False,False,1
http://182.121.247.119:46943/i,30,3.6859175795054955,0.5666666666666667,0.26666666666666666,0.03333333333333333,0.13333333333333333,0,0,False,False,False,False,False,1
app-4e9a55d3-3048-451b-9210-b1eebd227f95.cleverapps.io,54,4.352135539906906,0.4074074074074074,0.12962962962962962,0.18518518518518517,0.2777777777777778,0,0,False,False,False,False,False,1
facebooksecurity.blogspot.com.uy,32,3.965018266288633,0.0,0.09375,0.34375,0.5625,0,0,False,False,False,False,False,1
http://203.177.28.155:34534/bin.sh,34,4.020855120471211,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
att-102265.weeblysite.com,25,4.103465189601646,0.24,0.12,0.24,0.4,0,0,False,False,False,False,False,1
http://222.141.142.81:58698/bin.sh,34,3.8665871058289594,0.47058823529411764,0.2647058823529412,0.029411764705882353,0.23529411764705882,0,0,False,False,False,False,False,1
alert-message.com,17,3.454822399946607,0.0,0.11764705882352941,0.35294117647058826,0.5294117647058824,0,0,False,False,False,False,False,1
dsclxprxjoiqilug-dot-millinium.ey.r.appspot.com,47,4.185130809622311,0.0,0.1276595744680851,0.2765957446808511,0.5957446808510638,0,0,False,False,False,False,False,1
att-100299.weeblysite.com,25,4.023465189601646,0.24,0.12,0.24,0.4,0,0,False,False,False,False,False,1
http://113.24.164.137:57280/i,29,3.8404025467025056,0.5517241379310345,0.27586206896551724,0.034482758620689655,0.13793103448275862,0,0,False,False,False,False,False,1
cyan474575.studio.site,22,3.8230679822736606,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.36363636363636365,0,0,False,False,False,False,False,1
http://59.183.102.168:43977/i,29,3.952302977662386,0.5517241379310345,0.27586206896551724,0.034482758620689655,0.13793103448275862,0,0,False,False,False,False,False,1
blakeneytimeshare.co.uk,23,3.914866303883101,0.0,0.08695652173913043,0.391304347826087,0.5217391304347826,0,0,False,False,False,False,False,1
http://94.44.65.48:8080/sshd,28,3.655045546825804,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,0,0,False,False,False,False,False,1
bxlocalads.com,14,3.2359263506290334,0.0,0.07142857142857142,0.2857142857142857,0.6428571428571429,0,0,False,False,False,False,False,1
econovet.cl,11,2.9139770731827523,0.0,0.09090909090909091,0.36363636363636365,0.5454545454545454,0,0,False,False,False,False,False,1
canale3.com,11,3.0957952550009344,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.45454545454545453,0,0,False,False,False,False,False,1
http://45.125.66.205/fuckjewishpeople.i686,42,4.3680424225727155,0.30952380952380953,0.19047619047619047,0.16666666666666666,0.3333333333333333,0,0,False,False,False,False,False,1
coxnet-102434.weeblysite.com,28,4.164497779200461,0.21428571428571427,0.10714285714285714,0.25,0.42857142857142855,0,0,False,False,False,False,False,1
http://117.248.38.17:40387/i,28,3.6725535823855564,0.5357142857142857,0.2857142857142857,0.03571428571428571,0.14285714285714285,0,0,False,False,False,False,False,1
dev-ca-agrlc0le-prevent-ras.pantheonsite.io,43,3.989649928869136,0.023255813953488372,0.13953488372093023,0.32558139534883723,0.5116279069767442,0,0,False,False,False,False,False,1
bdcny.blogspot.si,17,3.6168746059562227,0.0,0.11764705882352941,0.17647058823529413,0.7058823529411765,0,0,False,False,False,False,False,1
dev-credit-agricolemabanque.pantheonsite.io,43,4.129184812590067,0.0,0.09302325581395349,0.4186046511627907,0.4883720930232558,0,0,False,False,False,False,False,1
apple113.ctiaspire.com,22,3.697845823084412,0.13636363636363635,0.09090909090909091,0.3181818181818182,0.45454545454545453,0,0,False,False,False,False,False,1
czfbqantfnycligs-dot-millinium.ey.r.appspot.com,47,4.293222627951163,0.0,0.1276595744680851,0.23404255319148937,0.6382978723404256,0,0,False,False,False,False,False,1
http://125.46.175.30:49257/bin.sh,33,4.089552452560668,0.45454545454545453,0.2727272727272727,0.030303030303030304,0.24242424242424243,0,0,False,False,False,False,False,1
http://117.223.23.40:60055/Mozi.m,33,4.066677073707229,0.45454545454545453,0.2727272727272727,0.06060606060606061,0.21212121212121213,0,0,False,False,False,False,False,1
att-mobile.weeblysite.com,25,3.653660689688185,0.0,0.12,0.36,0.52,0,0,False,False,False,False,False,1
